bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
12.0,12062.0,3.0,0.0,0.0,3.0,26.0,19.0,2020-04-29 09:15:00
12.0,12063.0,2.0,2.0,2.0,2.0,14.0,12.0,2020-04-29 09:15:00
12.0,12064.0,3.0,3.0,2.0,3.0,26.0,19.0,2020-04-29 09:15:00
12.0,12065.0,5.0,1.0,1.0,5.0,37.0,22.0,2020-04-29 09:15:00
12.0,12066.0,1.0,2.0,1.0,1.0,13.0,27.0,2020-04-29 09:15:00
12.0,12067.0,4.0,3.0,3.0,4.0,45.0,69.0,2020-04-29 09:15:00
12.0,12068.0,3.0,5.0,0.0,3.0,21.0,20.0,2020-04-29 09:15:00
12.0,12069.0,3.0,1.0,0.0,3.0,43.0,58.0,2020-04-29 09:15:00
12.0,12070.0,2.0,0.0,0.0,2.0,17.0,8.0,2020-04-29 09:15:00
12.0,12071.0,3.0,0.0,0.0,3.0,16.0,14.0,2020-04-29 09:15:00
12.0,12072.0,2.0,0.0,0.0,2.0,12.0,10.0,2020-04-29 09:15:00
12.0,12073.0,4.0,1.0,1.0,4.0,16.0,25.0,2020-04-29 09:15:00
13.0,13003.0,2.0,0.0,0.0,2.0,37.0,82.0,2020-04-29 09:15:00
13.0,13004.0,1.0,1.0,1.0,1.0,19.0,45.0,2020-04-29 09:15:00
13.0,13071.0,5.0,3.0,2.0,5.0,22.0,56.0,2020-04-29 09:15:00
13.0,13072.0,5.0,0.0,0.0,4.0,31.0,33.0,2020-04-29 09:15:00
13.0,13073.0,4.0,0.0,0.0,4.0,23.0,46.0,2020-04-29 09:15:00
13.0,13074.0,2.0,0.0,0.0,2.0,19.0,9.0,2020-04-29 09:15:00
13.0,13075.0,7.0,2.0,2.0,7.0,74.0,159.0,2020-04-29 09:15:00
13.0,13076.0,6.0,0.0,0.0,6.0,41.0,113.0,2020-04-29 09:15:00
14.0,14511.0,3.0,7.0,3.0,3.0,43.0,135.0,2020-04-29 09:15:00
14.0,14521.0,6.0,8.0,7.0,6.0,40.0,50.0,2020-04-29 09:15:00
14.0,14522.0,5.0,2.0,2.0,5.0,33.0,36.0,2020-04-29 09:15:00
14.0,14523.0,3.0,2.0,2.0,3.0,28.0,44.0,2020-04-29 09:15:00
14.0,14524.0,5.0,11.0,9.0,5.0,36.0,84.0,2020-04-29 09:15:00
14.0,14612.0,10.0,8.0,5.0,6.0,60.0,181.0,2020-04-29 09:15:00
14.0,14625.0,6.0,0.0,0.0,5.0,27.0,37.0,2020-04-29 09:15:00
14.0,14626.0,5.0,1.0,1.0,5.0,20.0,39.0,2020-04-29 09:15:00
14.0,14627.0,5.0,4.0,4.0,5.0,52.0,42.0,2020-04-29 09:15:00
14.0,14628.0,5.0,27.0,12.0,5.0,39.0,71.0,2020-04-29 09:15:00
14.0,14713.0,8.0,5.0,2.0,7.0,163.0,264.0,2020-04-29 09:15:00
14.0,14729.0,3.0,0.0,0.0,3.0,20.0,36.0,2020-04-29 09:15:00
14.0,14730.0,8.0,0.0,0.0,8.0,30.0,48.0,2020-04-29 09:15:00
15.0,15001.0,2.0,1.0,1.0,2.0,32.0,28.0,2020-04-29 09:15:00
15.0,15002.0,6.0,9.0,6.0,5.0,90.0,223.0,2020-04-29 09:15:00
15.0,15003.0,7.0,3.0,2.0,5.0,61.0,201.0,2020-04-29 09:15:00
15.0,15081.0,2.0,0.0,0.0,2.0,11.0,11.0,2020-04-29 09:15:00
15.0,15082.0,3.0,0.0,0.0,3.0,33.0,33.0,2020-04-29 09:15:00
15.0,15083.0,2.0,4.0,0.0,2.0,21.0,18.0,2020-04-29 09:15:00
15.0,15084.0,3.0,1.0,1.0,3.0,32.0,27.0,2020-04-29 09:15:00
15.0,15085.0,4.0,3.0,2.0,4.0,28.0,29.0,2020-04-29 09:15:00
15.0,15086.0,2.0,1.0,1.0,2.0,13.0,20.0,2020-04-29 09:15:00
15.0,15087.0,3.0,0.0,0.0,3.0,23.0,14.0,2020-04-29 09:15:00
15.0,15088.0,2.0,1.0,0.0,2.0,11.0,16.0,2020-04-29 09:15:00
15.0,15089.0,4.0,0.0,0.0,4.0,28.0,47.0,2020-04-29 09:15:00
15.0,15090.0,2.0,0.0,0.0,2.0,24.0,24.0,2020-04-29 09:15:00
15.0,15091.0,2.0,2.0,1.0,2.0,42.0,21.0,2020-04-29 09:15:00
16.0,16051.0,2.0,2.0,2.0,2.0,31.0,65.0,2020-04-29 09:15:00
16.0,16052.0,1.0,5.0,3.0,1.0,7.0,39.0,2020-04-29 09:15:00
16.0,16053.0,2.0,5.0,3.0,1.0,19.0,98.0,2020-04-29 09:15:00
16.0,16054.0,1.0,1.0,1.0,1.0,22.0,12.0,2020-04-29 09:15:00
16.0,16055.0,1.0,0.0,0.0,1.0,8.0,8.0,2020-04-29 09:15:00
16.0,16056.0,1.0,2.0,2.0,1.0,21.0,23.0,2020-04-29 09:15:00
16.0,16061.0,3.0,3.0,3.0,3.0,11.0,19.0,2020-04-29 09:15:00
16.0,16062.0,3.0,9.0,9.0,3.0,41.0,43.0,2020-04-29 09:15:00
16.0,16063.0,3.0,1.0,1.0,3.0,17.0,70.0,2020-04-29 09:15:00
16.0,16064.0,3.0,7.0,3.0,3.0,71.0,33.0,2020-04-29 09:15:00
16.0,16065.0,1.0,0.0,0.0,1.0,12.0,3.0,2020-04-29 09:15:00
16.0,16066.0,2.0,5.0,2.0,2.0,14.0,34.0,2020-04-29 09:15:00
16.0,16067.0,2.0,0.0,0.0,2.0,33.0,17.0,2020-04-29 09:15:00
16.0,16068.0,1.0,0.0,0.0,1.0,9.0,5.0,2020-04-29 09:15:00
16.0,16069.0,1.0,0.0,0.0,1.0,6.0,2.0,2020-04-29 09:15:00
16.0,16070.0,2.0,0.0,0.0,2.0,7.0,9.0,2020-04-29 09:15:00
16.0,16071.0,3.0,7.0,5.0,3.0,48.0,78.0,2020-04-29 09:15:00
16.0,16072.0,1.0,1.0,1.0,1.0,1.0,7.0,2020-04-29 09:15:00
16.0,16073.0,1.0,1.0,1.0,1.0,18.0,9.0,2020-04-29 09:15:00
16.0,16074.0,1.0,0.0,0.0,1.0,8.0,8.0,2020-04-29 09:15:00
16.0,16075.0,1.0,1.0,1.0,1.0,3.0,3.0,2020-04-29 09:15:00
16.0,16076.0,1.0,7.0,6.0,1.0,5.0,12.0,2020-04-29 09:15:00
16.0,16077.0,2.0,1.0,0.0,1.0,25.0,35.0,2020-04-29 09:15:00
